,Security,Performance,Cost,Availability,Modifiability,Usability,Dev. Effort
Broker,0.22363636363636363,0.5504950495049504,1.6851063829787236,0.27062937062937065,0.29083333333333333,0.14216216216216215,0.7445945945945946
SOA,0.38969696969696965,0.8306930693069307,0.7,0.5146853146853148,0.5925,0.16108108108108107,0.37162162162162166
Pipe filter,0.08515151515151514,0.49801980198019796,0.8851063829787233,0.1972027972027972,0.5008333333333334,0.19135135135135137,0.6027027027027028
Peer-to-peer,0.26575757575757575,0.15346534653465346,1.1872340425531915,0.40489510489510494,0.42916666666666664,0.19243243243243244,0.5310810810810811
Implicit-invocation,0.1396969696969697,0.17623762376237623,1.3702127659574468,0.24265734265734268,0.27,0.20108108108108105,0.6972972972972973
Space-based,0.21303030303030301,0.3891089108910891,0.9936170212765957,0.14965034965034965,0.14083333333333334,0.22756756756756757,0.6364864864864865
Component-based,0.4287878787878787,0.6851485148514851,0.5723404255319149,0.36923076923076925,0.7641666666666668,0.3962162162162162,0.23783783783783785
Microservice,0.5712121212121212,0.9257425742574257,0.45744680851063824,0.48461538461538467,0.9016666666666667,0.3237837837837838,0.11891891891891893
RPC,0.11333333333333334,0.2287128712871287,1.4276595744680853,0.28601398601398603,0.4025,0.1691891891891892,0.8675675675675675
Microkernel,0.11333333333333334,0.28316831683168314,1.304255319148936,0.31398601398601406,0.21000000000000002,0.15783783783783784,0.5878378378378378
Client-server,0.14939393939393938,0.9663366336633663,1.2680851063829788,0.4937062937062937,0.52,0.18756756756756757,1.1378378378378378
Shared repository,0.08969696969696969,0.10297029702970296,0.7297872340425531,0.3923076923076923,0.3925,0.23675675675675675,0.4472972972972973
Reflection,0.07181818181818181,0.18514851485148515,1.074468085106383,0.15594405594405597,0.11750000000000001,0.13783783783783782,0.48918918918918924
PAC,0.07848484848484848,0.12079207920792079,1.2574468085106383,0.22097902097902103,0.18166666666666667,0.23567567567567568,1.2135135135135136
Publish-subscribe,0.14272727272727273,0.4138613861386138,0.8595744680851064,0.3251748251748252,0.19416666666666668,0.10756756756756758,0.6959459459459459
Virtual-machine,0.12303030303030302,0.05742574257425742,0.9276595744680851,0.04405594405594406,0.15333333333333335,0.12486486486486487,0.591891891891892
Batch-sequence,0.05272727272727272,0.13564356435643563,0.7829787234042553,0.06083916083916084,0.16333333333333333,0.08486486486486486,0.6297297297297298
Blackboard,0.07636363636363636,0.26930693069306927,1.6042553191489362,0.051748251748251754,0.4275,0.1718918918918919,1.3716216216216217
MVC,0.3518181818181818,0.7504950495049505,0.6106382978723405,0.5251748251748252,0.6908333333333334,0.3654054054054054,0.2864864864864865
Object oriented,0.49303030303030304,0.8633663366336634,0.3893617021276596,0.5552447552447553,0.7808333333333334,0.3583783783783784,0.14864864864864866
Grid computing,0.06696969696969697,0.5851485148514851,0.6659574468085107,0.2993006993006993,0.2516666666666667,0.16,0.7391891891891892
Event-based,0.0903030303030303,0.42178217821782177,0.5234042553191489,0.293006993006993,0.22833333333333336,0.1545945945945946,0.8067567567567568
Layer,0.4248484848484848,0.6158415841584158,0.6319148936170212,0.12097902097902098,0.5708333333333334,0.2686486486486487,0.4472972972972973
