,Security,Performance,Cost,Availability,Modifiability,Usability,Dev. Effort
Broker,0.0738,0.0556,0.0792,0.0387,0.0349,0.026299999999999997,0.0551
SOA,0.1286,0.0839,0.0329,0.0736,0.0711,0.029799999999999997,0.0275
Pipe filter,0.0281,0.0503,0.0416,0.0282,0.0601,0.0354,0.0446
Peer-to-peer,0.0877,0.0155,0.0558,0.0579,0.0515,0.0356,0.0393
Implicit-invocation,0.04610000000000001,0.0178,0.0644,0.0347,0.0324,0.0372,0.05159999999999999
Space-based,0.0703,0.0393,0.0467,0.0214,0.0169,0.0421,0.0471
Component-based,0.1415,0.0692,0.0269,0.0528,0.0917,0.0733,0.0176
Microservice,0.1885,0.0935,0.0215,0.0693,0.1082,0.0599,0.0088
RPC,0.0374,0.0231,0.0671,0.0409,0.0483,0.0313,0.0642
Microkernel,0.0374,0.0286,0.0613,0.04490000000000001,0.0252,0.0292,0.0435
Client-server,0.0493,0.0976,0.0596,0.0706,0.0624,0.0347,0.0842
Shared repository,0.0296,0.0104,0.0343,0.0561,0.0471,0.0438,0.0331
Reflection,0.0237,0.0187,0.0505,0.0223,0.0141,0.025499999999999995,0.0362
PAC,0.0259,0.0122,0.0591,0.0316,0.0218,0.0436,0.0898
Publish-subscribe,0.0471,0.0418,0.0404,0.0465,0.0233,0.0199,0.0515
Virtual-machine,0.0406,0.0058,0.0436,0.0063,0.0184,0.0231,0.043800000000000006
Batch-sequence,0.0174,0.013699999999999999,0.0368,0.0087,0.0196,0.0157,0.04660000000000001
Blackboard,0.0252,0.0272,0.0754,0.0074,0.0513,0.0318,0.1015
MVC,0.11610000000000001,0.0758,0.028700000000000003,0.07509999999999999,0.0829,0.0676,0.0212
Object oriented,0.1627,0.0872,0.0183,0.0794,0.0937,0.0663,0.011
Grid computing,0.0221,0.0591,0.0313,0.0428,0.030200000000000005,0.0296,0.0547
Event-based,0.0298,0.0426,0.0246,0.0419,0.0274,0.0286,0.0597
Layer,0.1402,0.062200000000000005,0.029699999999999997,0.0173,0.0685,0.04970000000000001,0.0331
