,Security,Performance,Cost,Availability,Modifiability,Usability,Dev. Effort
Broker,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0
SOA,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0
Pipe filter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peer-to-peer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Implicit-invocation,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18
Space-based,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component-based,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microservice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microkernel,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0
Client-server,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shared repository,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reflection,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0
PAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publish-subscribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtual-machine,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18
Batch-sequence,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18
Blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVC,1.3877787807814457e-17,0.0,3.469446951953614e-18,1.3877787807814457e-17,0.0,0.0,0.0
Object oriented,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grid computing,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0
Event-based,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Layer,0.0,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,6.938893903907228e-18,0.0
