Architecture,theta_recomputed,phi_reciprocal,radial_input_reduction_%,active_reference_peers,paper_table5_theta,difference_recomputed_minus_paper,absolute_difference,matches_paper_to_3dp,paper_rank,recomputed_rank
Broker,0.14732763413956074,6.787592876518458,85.26723658604392,Object oriented:0.637615,0.444,-0.29667236586043927,0.29667236586043927,False,13,18
SOA,0.5351809765483395,1.8685268046138712,46.48190234516605,Object oriented:0.962156,0.53,0.005180976548339489,0.005180976548339489,False,8,5
Pipe filter,0.28215817666858223,3.544111362665139,71.78418233314177,Object oriented:0.641409,0.341,-0.0588418233314178,0.0588418233314178,False,16,11
Peer-to-peer,0.2391525148289591,4.181432090376285,76.08474851710409,Object oriented:0.729219,0.545,-0.30584748517104093,0.30584748517104093,False,7,14
Implicit-invocation,0.15943902644669908,6.271990128679711,84.0560973553301,Object oriented:0.561086,0.286,-0.1265609735533009,0.1265609735533009,False,18,17
Space-based,0.24883002121949097,4.018807678828705,75.11699787805091,Object oriented:0.634992,0.512,-0.2631699787805091,0.2631699787805091,False,10,13
Component-based,0.7521236690272335,1.3295685818442062,24.78763309727665,Object oriented:1.105581,0.823,-0.07087633097276647,0.07087633097276647,False,3,3
Microservice,1.0,1.0,0.0,Microservice:1.000000,1.0,0.0,0.0,True,1,1
RPC,0.1405840690792665,7.113181504485854,85.94159309207335,Object oriented:0.515475,0.342,-0.20141593092073354,0.20141593092073354,False,15,20
Microkernel,0.16881710709604253,5.9235702897757,83.11828929039575,Object oriented:0.565491,0.453,-0.2841828929039575,0.2841828929039575,False,12,16
Client-server,0.3436672618681116,2.9097912747469317,65.63327381318884,Object oriented:1.119266,0.34,0.00366726186811156,0.00366726186811156,False,17,10
Shared repository,0.376963523804628,2.6527765602018256,62.303647619537195,Object oriented:0.706549,0.691,-0.31403647619537195,0.31403647619537195,False,6,9
Reflection,0.13937547600913938,7.174863387978141,86.06245239908607,Object oriented:0.384615,0.159,-0.01962452399086062,0.01962452399086062,False,22,21
PAC,0.20362756582523678,4.910926455106031,79.63724341747633,Object oriented:0.657617,0.258,-0.05437243417476323,0.05437243417476323,False,19,15
Publish-subscribe,0.2652785744569419,3.769622186967507,73.4721425543058,Object oriented:0.585642,0.519,-0.2537214255430581,0.2537214255430581,False,9,12
Virtual-machine,0.14623894723732825,6.838123625008871,85.37610527626718,Object oriented:0.348416,0.174,-0.02776105276267174,0.02776105276267174,False,20,19
Batch-sequence,0.11775772181782414,8.49201211235251,88.22422781821759,Object oriented:0.236802,0.098,0.019757721817824134,0.019757721817824134,False,23,23
Blackboard,0.13287935705408935,7.525623408856079,86.71206429459106,Object oriented:0.547492,0.162,-0.029120642945910657,0.029120642945910657,False,21,22
MVC,0.6501332240213158,1.5381462799495587,34.98667759786842,Object oriented:1.019608,0.768,-0.11786677597868422,0.11786677597868422,False,4,4
Object oriented,1.0,1.0,0.0,Object oriented:1.000000,0.894,0.10599999999999998,0.10599999999999998,False,2,1
Grid computing,0.396257730750066,2.523610070918051,60.3742269249934,Object oriented:0.677752,0.4,-0.003742269249934038,0.003742269249934038,False,14,7
Event-based,0.392563125883148,2.5473610078641573,60.7436874116852,Object oriented:0.527708,0.455,-0.062436874116852004,0.062436874116852004,False,11,8
Layer,0.5309518044613312,1.8834101166951196,46.904819553866886,Object oriented:0.861709,0.713,-0.1820481955386688,0.1820481955386688,False,5,6
