,Security,Performance,Availability,Modifiability,Usability
Broker,0.029939908256880726,0.0,0.011926605504587157,0.02484449541284403,0.015973853211009175
SOA,0.027942775229357814,0.0,0.002795183486238542,0.019054013761467897,0.033990940366972484
Pipe filter,0.07625720384204909,0.005630843116328707,0.022727854855923154,0.0,0.007125400213447167
Peer-to-peer,0.030943954659949646,0.048087909319899244,0.0,0.01682783375314862,0.012747229219143577
Implicit-invocation,0.04518868778280542,0.031126696832579178,0.009850226244343882,0.0201737556561086,0.0
Space-based,0.0330132730015083,0.016071342383107083,0.029018401206636495,0.04259879336349925,0.0
Component-based,0.03837797888386127,0.027206636500754153,0.03498310708898944,0.011892911010558074,0.0
Microservice,0.0,-0.0,-0.0,-0.0,-0.0
RPC,0.04646776947705443,0.021849413020277483,2.870864461045758e-05,0.0,0.002875987193169685
Microkernel,0.05460541561712848,0.020710831234256925,0.0,0.027786523929471035,0.008292065491183876
Client-server,0.13280458715596333,0.0,0.018269724770642218,0.04247522935779817,0.03950733944954129
Shared repository,0.08535554156171286,0.05121108312342569,0.0,0.01910365239294709,0.0030442065491183834
Reflection,0.03887692307692307,0.014838461538461536,0.008238461538461535,0.02193846153846154,0.0
PAC,0.08109426847662143,0.045144193061840115,0.020614781297134233,0.039818702865761696,0.0
Publish-subscribe,0.04818400503778339,0.009268010075566754,0.0,0.03157468513853904,0.018928085642317377
Virtual-machine,0.016087330316742088,0.024581900452488686,0.021364253393665156,0.014246606334841629,0.0
Batch-sequence,0.02112775263951735,0.006949170437405731,0.010102111613876318,0.002588386123680241,0.0
Blackboard,0.06387694770544289,0.02054130202774813,0.03607086446104589,0.0,0.0044987193169690395
MVC,0.04979019607843137,0.013109803921568616,0.005856862745098029,0.012637254901960784,0.0
Object oriented,0.0,-0.0,-0.0,-0.0,-0.0
Grid computing,0.0881702981651376,0.0,0.011013532110091748,0.03330538990825688,0.015334977064220184
Event-based,0.05605806045340051,0.003416120906801004,0.0,0.02204622166246851,0.006387027707808558
Layer,0.0,0.012940995697602937,0.051119668100799015,0.012242102028272889,0.007431284572833423
