,Cost,Dev. Effort
Broker,0.0,0.0011039911731998888
SOA,0.0,0.00413376125874906
Pipe filter,0.0,0.005528758414744277
Peer-to-peer,0.0,0.0013772832534330072
Implicit-invocation,0.0,0.002055108063292208
Space-based,0.0,0.004734976955697451
Component-based,0.0,0.0010759889429034428
Microservice,-0.0,0.0
RPC,0.0,0.0033552731153584916
Microkernel,0.0,0.0011231411360078242
Client-server,0.0,0.016624856843790413
Shared repository,0.0,0.0047054523356661855
Reflection,0.0,0.0008146230007616152
PAC,0.0,0.011051969589085149
Publish-subscribe,0.0,0.00721978109334863
Virtual-machine,0.0,0.002572686703474616
Batch-sequence,0.0,0.0028826832907075887
Blackboard,0.0,0.007464842787948447
MVC,0.0,0.0025671380747420928
Object oriented,0.0,-0.0
Grid computing,0.0,0.014220022642670811
Event-based,0.0,0.01763123272101739
Layer,0.0,0.008095709398844003
